Words to Learn

Learned Words

The Rest
der, die, das; тот, та, то, те
der Vorstand; правление, совет директоров
zögern; колебаться, медлить
der Zufall; случайность, совпадение
zufällig; случайный
zugrunde; находиться в основе
die Zustimmung; одобрение, согласие
ableiten; выводить, производить
der/die Angehörige; родственник
die Annahme; предположение, принятие
das Argument; аргумент
das Arzneimittel; лекарство
aufhalten; задерживать, останавливать
der Außenminister; министр иностранных дел
ausstatten; оснащать, снабжать
der Benutzer; пользователь
berühren; касаться, трогать
der Bescheid; уведомление, решение
bezüglich; относительно, касательно
die Blume; цветок
die Bundeswehr; вооруженные силы Германии
demnach; следовательно, поэтому
die Disziplin; дисциплина
dramatisch; драматический, драматичный
einräumen; признавать, уступать
empfangen; принимать, получать
entlassen; увольнять, отпускать
ergreifen; воспользоваться, хватать
erkennbar; узнаваемый, различимый
erteilen; выдавать, давать
die Existenz; существование
fern; далекий, отдаленный
die Fraktion; фракция, группа
das Grundgesetz; основной закон, конституция
der Händler; торговец, дилер
hierbei; при этом
hierzu; к этому, для этого
der Hinblick; с точки зрения
indes; между тем, однако
das Individuum; индивид, личность
innen; внутри
juristisch; юридический
die Katastrophe; катастрофа
komisch; странный, смешной
lustig; веселый, забавный
das Motiv; мотив
musikalisch; музыкальный
der Musiker; музыкант
objektiv; объективный
die Opposition; оппозиция
der Papa; папа
das Personal; персонал, сотрудники
regieren; управлять, править
der Sand; песок
seltsam; странный, необычный
sorgfältig; тщательный, аккуратный
stärken; укреплять, усиливать
die Station; станция
stattdessen; вместо этого
die Tendenz; тенденция
das Training; тренировка
trauen; доверять
die Umsetzung; реализация, воплощение
unglaublich; невероятный
der Verkäufer; продавец
vernünftig; разумный, рациональный
die Versorgung; снабжение, обеспечение
vierzehn; четырнадцать
vorwiegend; преимущественно, в основном
der Wandel; изменение, перемена
sich wehren; защищаться
weisen; указывать, показывать
widmen; посвящать
das Wunder; чудо
zufolge; согласно, в соответствии с
zugehen; закрываться, приближаться
zurückführen; объяснять, возвращать
ahnen; подозревать, предчувствовать
analysieren; анализировать
die Angelegenheit; дело, вопрос
aufgehen; открываться, восходить
die Auskunft; справка, информация
das Ausmaß; масштаб, размер
aussuchen; выбирать, отбирать
ausziehen; снимать (одежду), выезжать
die Begründung; обоснование, аргументация
derart; настолько, так
durchschnittlich; средний
das Engagement; обязательство, участие
die Entfernung; расстояние
erarbeiten; разработать, выработать
der Fleck; пятно
gefangen; пленный, пойманный
griechisch; греческий
die Handlung; действие, сюжет
das Immunsystem; иммунная система
der Koffer; чемодан
sich lohnen; стоить, окупаться
mathematisch; математический
die Not; нужда, беда
die Persönlichkeit; личность
radikal; радикальный
schalten; переключать, включать
der Schlüssel; ключ
der Schreibtisch; письменный стол
die Seele; душа
stabil; стабильный
systematisch; систематический
der Unternehmer; предприниматель
die Unternehmung; предприятие, предпринимательство
verarbeiten; обрабатывать, перерабатывать
die Vereinbarung; соглашение, договоренность
verrückt; сумасшедший, безумный
versehen; оборудовать, снабжать
vertraut; знакомый, доверенный
das Video; видео
die Wahrnehmung; восприятие
winzig; крошечный, tiny
wozu; зачем, для чего
sich wundern; удивляться
abbauen; уменьшать, сокращать
abwarten; ожидать, выжидать
der/die Angestellte; служащий, сотрудник
aufeinander; друг на друга
ausfallen; отменяться, выпадать
die Äußerung; высказывание, выражение
die Begegnung; встреча
das Café; кафе
die Datei; файл
die Dienstleistung; услуга
dorthin; туда
ehe; до, прежде чем
einbauen; устанавливать, встраивать
einbeziehen; включать, вовлекать
ernsthaft; серьезный
erstaunlich; удивительный, поразительный
die Erzählung; рассказ, повествование
die Ferne; даль, дальность
das Gedicht; стихотворение, поэма
glatt; гладкий, ровный
golden; золотой, золотистый
die Gründung; основание, учреждение
hübsch; красивый, миловидный
interpretieren; интерпретировать, истолковывать
der Kanton; кантон (административная единица)
der Keller; подвал, погреб
das Konto; счет (банковский)
neigen; наклонять, склонять
die Operation; операция (хирургическая или военная)
ordnen; упорядочивать, приводить в порядок
die Qualifikation; квалификация, квалификационный уровень
raten; советовать, рекомендовать
die Sammlung; коллекция, собрание
sanft; мягкий, нежный
scheinbar; кажущийся, мнимый
schmecken; иметь вкус, пробовать на вкус
städtisch; городской, муниципальный
die Tonne; тонна, бочка
der Träger; носитель, опора
der Trend; тенденция, направление
umso; тем (более)
die Variante; вариант, разновидность
vergeben; прощать, давать, распределять
der/die Verwandte; родственник, родственница
die Vielfalt; разнообразие, многообразие
die Vielzahl; множество, большое количество
wirksam; эффективный, действенный
die Zahlung; платеж, оплата
zusammensetzen; составлять, компоновать
ablegen; класть, снимать (одежду)
abstimmen; голосовать, согласовывать
achtzig; восемьдесят
akademisch; академический, университетский
anregen; стимулировать, побуждать
der Arbeiter; рабочий, работник
ärgern; раздражать, сердить
aufregen; волновать, возбуждать
der Aufwand; усилие, затраты
die Aufwendungen; расходы, издержки
ausbauen; расширять, развивать
ausweisen; выдворять, удостоверять личность
der Bauch; живот, брюхо
bedecken; покрывать, накрывать
beliebt; популярный, любимый
die Berechnung; расчет, вычисление
bereiten; готовить, подготавливать
der Bestand; запас, наличие
beugen; наклонять, сгибать
das Entwicklungsland; развивающаяся страна
der Entwurf; проект, эскиз, чертеж
entziehen; извлекать, лишать
erbringen; приносить, оказывать (услугу)
erfinden; изобретать, придумывать
etliche; несколько, некоторые
experimentell; экспериментальный, опытный
die Fachhochschule; высшее профессиональное учебное заведение
faszinieren; очаровывать, завораживать
der Fernseher; телевизор
die Finanzierung; финансирование
gewöhnen; привыкать, приучать
grinsen; усмехаться, ухмыляться
herkommen; приходить, происходить
herzlich; сердечный, искренний
hierfür; для этого, ради этого
die Hose; брюки, штаны
der Impuls; импульс, толчок
das Kapital; капитал, средства
der Kern; ядро, суть
klagen; жаловаться, подавать в суд
klopfen; стучать, биться
mangeln; не хватать, испытывать недостаток
der Motor; двигатель, мотор
primär; первичный, основной
der Rang; ранг, звание
rauchen; курить, дымить
rechtzeitig; своевременный, вовремя
der Regisseur; режиссер
die Republik; республика
rollen; катить(ся), вращать(ся)
das Salz; соль
der Schilling; шиллинг (бывшая валюта Австрии)
der Stil; стиль, манера
übel; плохой, скверный
ungewöhnlich; необычный, незаурядный
vereinen; объединять, соединять
die Vermittlung; посредничество, передача
versetzen; перемещать, переводить
verständlich; понятный, вразумительный
vorübergehen; проходить, миновать
der Wahlkampf; предвыборная кампания
die Wolke; облако, туча
der Zahn; зуб
zustande; существующий, осуществленный
zustimmen; соглашаться, одобрять
absolvieren; завершать, оканчивать
die Anstrengung; усилие, напряжение
atmen; дышать
die Behinderung; инвалидность, ограничение возможностей
bequem; удобный, комфортный
die Berücksichtigung; учет, принятие во внимание
das Bord; борт, полка
der Dichter; поэт
der Eingriff; вмешательство, операция
der Einwohner; житель, обитатель
errichten; строить, возводить
der Fan; поклонник, фанат
Frankfurter; франкфуртский
Hamburger; гамбургский
das Handy; мобильный телефон
herausfinden; выяснять, обнаруживать
die Hütte; хижина, домик
die Kooperation; сотрудничество, кооперация
laden; загружать, приглашать
lehnen; опираться, прислоняться
nochmals; снова, еще раз
ökologisch; экологический
qualifizieren; квалифицировать, подготавливать
schlicht; простой, скромный
die Stasi; Штази (служба госбезопасности ГДР)
das Symbol; символ
der Täter; преступник, виновник
die Tour; тур, поездка
die Trennung; разделение, расставание
die Übertragung; передача, трансляция
überwinden; преодолевать, побеждать
unendlich; бесконечный, безграничный
die Verfassung; конституция, состояние
verleihen; присуждать, придавать
vermögen; быть в состоянии, мочь
vollkommen; совершенный, полный
voneinander; друг от друга
vorgehen; действовать, поступать
vorhin; недавно, только что
weiblich; женский, женственный
die Zeitschrift; журнал, периодическое издание
zutreffen; подходить, соответствовать
die Absicht; намерение, цель
abstrakt; абстрактный, отвлеченный
der Architekt; архитектор
attraktiv; привлекательный, притягательный
aufbringen; собирать, добывать
aufmachen; открывать, распаковывать
die Aufmerksamkeit; внимание, бдительность
ausdrücklich; явно, определенно
auswirken; влиять, сказываться
bearbeiten; обрабатывать, редактировать
bedrohen; угрожать, подвергать опасности
der Beschluss; решение, постановление
bewerben; подавать заявку, претендовать
bewerten; оценивать, расценивать
die Bibel; Библия
die Bindung; связь, соединение
die Börse; биржа, кошелек
das Business; бизнес, дело
decken; покрывать, накрывать
differenzieren; дифференцировать, различать
dumm; глупый, тупой
der Ehegatte; супруг
die Einschätzung; оценка, суждение
einsteigen; входить, садиться (в транспорт)
eintreffen; прибывать, сбываться
das Elektron; электрон
entnehmen; извлекать, заимствовать
die Entstehung; возникновение, зарождение
erlernen; изучать, осваивать
die Erweiterung; расширение, дополнение
der Feind; враг, противник
die Flucht; побег, бегство
der Flüchtling; беженец
geheim; секретный, тайный
das Geschlecht; пол, род
das Gewissen; совесть, сознание
der Gläubiger; кредитор, заимодавец
der Griff; ручка, захват
der Halt; остановка, опора
das Hemd; рубашка
hinterlassen; оставлять, завещать
indirekt; косвенный, непрямой
die Infektion; инфекция, заражение
intern; внутренний, служебный
der Kindergarten; детский сад
das Klima; климат
der Kontinent; континент
die Kündigung; увольнение, расторжение
lebendig; живой, оживленный
loben; хвалить, восхвалять
der Mantel; пальто, мантия
das Marketing; маркетинг
mehrmals; неоднократно, многократно
der Mister; мистер
murmeln; бормотать, шептать
der Mut; смелость, мужество
der Nationalsozialist; национал-социалист
die Nebenwirkung; побочный эффект
die Oper; опера
das Orchester; оркестр
das Paket; пакет, посылка
quer; поперек, наперекор
registrieren; регистрировать, учитывать
relevant; актуальный, существенный
rennen; бежать, мчаться
die Ressource; ресурс
die Revolution; революция
die Richtlinie; руководство, директива
die Rückkehr; возвращение
die Scheibe; диск, стекло
senden; отправлять, передавать
die Stille; тишина, безмолвие
der Stress; стресс, напряжение
subjektiv; субъективный
teils; частично, отчасти
die These; тезис, утверждение
der Transport; транспорт, перевозка
der Übergang; переход, переходный период
übergehen; превращаться, переходить
verbleiben; оставаться, пребывать
verlängern; удлинять, продлевать
vermissen; скучать, недосчитываться
verschließen; запирать, закрывать
verurteilen; осуждать, приговаривать
vollziehen; выполнять, совершать
das Vorbild; пример, образец
das Vorgehen; действие, процедура
vorziehen; предпочитать, выдвигать
der Widerspruch; противоречие, возражение
womit; чем, с чем
die Wüste; пустыня
zucken; дергаться, вздрагивать
zusammenarbeiten; сотрудничать
zuwenden; обращать, поворачивать
abbrechen; прекращать, прерывать
der Alkohol; алкоголь, спирт
analog; аналогичный, аналоговый
die Anerkennung; признание, одобрение
der Aufenthalt; пребывание, проживание
aufkommen; возмещать, возникать
die Aussicht; перспектива, вид
der Ball; мяч, шар
die Bemerkung; замечание, примечание
der Besitz; владение, имущество
bewahren; сохранять, оберегать
die Chemie; химия
dementsprechend; соответственно, сообразно
die Distanz; дистанция, расстояние
dominieren; доминировать, преобладать
dynamisch; динамичный, энергичный
das Ei; яйцо
einhalten; соблюдать, придерживаться
einigermaßen; относительно, в некоторой степени
einschalten; включать, подключать
fangen; ловить, поймать
die Frist; срок, период
das Geschenk; подарок, презент
die Gestaltung; организация, оформление
gewährleisten; гарантировать, обеспечивать
das Heim; дом, жилище
heimlich; тайный, скрытный
hinweg; на протяжении, в течение
der Höhepunkt; пик, кульминация
der Horizont; горизонт, кругозор
identifizieren; идентифицировать, опознавать
indisch; индийский
klettern; взбираться, карабкаться
kommunikativ; общительный, коммуникабельный
die Konferenz; конференция, совещание
das Kreuz; крест, крестик
kürzlich; недавно, на днях
küssen; целовать
locker; свободный, непринужденный
mehrfach; многократный, неоднократный
moralisch; моральный, нравственный
Münchner; мюнхенский
nähern; приближаться, сближаться
die Notwendigkeit; необходимость, потребность
das Organ; орган
potenziell; потенциальный, возможный
die Presse; пресса, печать
prinzipiell; принципиально, в принципе
problematisch; проблематичный, сложный
profitieren; извлекать выгоду, пользоваться
quasi; почти, как бы
die Rechtsprechung; юриспруденция, судопроизводство
das Regal; полка, стеллаж
der Ring; кольцо, перстень
scheiden; разводиться, расставаться
steil; крутой, отвесный
streiten; ссориться, спорить
südlich; южный
überschreiten; превышать, переходить
die Übung; упражнение, практика
versterben; умереть, скончаться
der Vortrag; лекция, доклад
vorwerfen; упрекать, обвинять
winken; махать, кивать
worauf; на что, на чем
die Zeile; строка, линия
zittern; дрожать, трястись
zurückhalten; сдерживаться, удерживать
akut; острый, неотложный
angreifen; атаковать, нападать
ansteigen; подниматься, возрастать
ausbreiten; распространяться, расширяться
die Ausführung; исполнение, выполнение
ausgeprägt; выраженный, ярко выраженный
beklagen; жаловаться, оплакивать
benennen; называть, именовать
der Besitzer; владелец, собственник
blöd; глупый, тупой
das Center; центр
danken; благодарить
daraufhin; в результате, вследствие
dreimal; трижды, три раза
der Eingang; вход, поступление
einig; согласный, единодушный
erlangen; получить, достигнуть
die Erscheinung; явление, феномен
erstaunen; удивлять, изумлять
erwidern; отвечать, возражать
die Ferien; каникулы, отпуск
ferner; кроме того, далее
der Flug; полет, рейс
die Fragestellung; вопрос, постановка вопроса
die Freundschaft; дружба
das Frühstück; завтрак
das Gehalt; зарплата, содержание
das Geheimnis; секрет, тайна
das Geräusch; шум, звук
der Geschmack; вкус
das Gold; золото
der Hafen; порт, гавань
hinausgehen; выходить за пределы, превосходить
der Hut; шляпа, шапка
die Interpretation; интерпретация, толкование
jetzig; текущий, нынешний
die Klage; жалоба, иск
die Klinik; клиника, больница
korrigieren; корректировать, исправлять
kündigen; увольняться, расторгать
die Lehrerin; учительница
losgehen; начинаться, отправляться
die Marke; марка, бренд
markieren; отмечать, помечать
das Medikament; лекарство, медикамент
die Miete; аренда, прокат
mitmachen; участвовать, принимать участие
das Öl; масло, нефть
der Pass; паспорт, перевал
die Phantasie; фантазия, воображение
die Prognose; прогноз, предсказание
das Protein; белок, протеин
das Protokoll; протокол, отчет
schildern; описывать, изображать
der Schreck; испуг, ужас
seither; с тех пор, с того времени
die Serie; серия, сериал
der Tee; чай
transportieren; транспортировать, перевозить
der Turm; башня, вышка
die Überzeugung; убеждение, уверенность
verteidigen; защищать, оборонять
verwandeln; превращать, преображать
verweigern; отказывать, отклонять
virtuell; виртуальный
vorerst; пока, на время
die Vorgabe; указание, предписание
vorschreiben; предписывать, диктовать
wahnsinnig; безумный, сумасшедший
weggehen; уходить, удаляться
das Weihnachten; Рождество
die Wende; перелом, поворот
widersprechen; противоречить, возражать
wonach; после чего, за чем
zugänglich; доступный, открытый
die Abhängigkeit; зависимость
abholen; забирать, встречать
absetzen; снимать, отстранять
anbringen; прикреплять, устанавливать
andeuten; намекать, обозначать
der Arbeitsmarkt; рынок труда
der Ärger; неприятность, досада
aufbrechen; вскрывать, отправляться
aufsetzen; надевать, составлять
ausführlich; подробный, детальный
ausgezeichnet; отличный, превосходный
ausgleichen; уравновешивать, компенсировать
außerordentlich; исключительный, чрезвычайный
der Austausch; обмен, взаимодействие
beantragen; подавать заявление, ходатайствовать
die Betreuung; уход, опека
blind; слепой
die Bombe; бомба
die BSE; губчатая энцефалопатия крупного рогатого скота
dazwischen; между, посреди
denkbar; возможный, мыслимый
der Dialog; диалог, беседа
eigenständig; независимый, самостоятельный
einigen; соглашаться, договариваться
einleiten; инициировать, начинать
einschlafen; засыпать
einschließlich; включая, в том числе
die E-Mail; электронная почта
die Entschuldigung; извинение, прощение
die Erhöhung; повышение, увеличение
etablieren; устанавливать, учреждать
feucht; влажный, сырой
flüstern; шептать
das Gas; газ
geistlich; духовный, церковный
das Gen; ген
gleiten; скользить, плавно двигаться
hervorragend; выдающийся, превосходный
hinterher; после, впоследствии
die Hitze; жара, зной
intellektuell; интеллектуальный, умственный
jenseits; за пределами, по ту сторону
keinerlei; никаких, никоим образом
die Kindheit; детство
das Klavier; фортепиано, пианино
konsequent; последовательный, неуклонный
kontinuierlich; постоянно, непрерывно
die Konzentration; концентрация, сосредоточение
korrekt; правильный, корректный
der Leib; тело, плоть
der Maler; художник, маляр
materiell; материальный, вещественный
die Menschheit; человечество
merkwürdig; странный, удивительный
die Milch; молоко
der Mord; убийство
mündlich; устный, словесный
nebeneinander; рядом, бок о бок
pädagogisch; педагогический, воспитательный
der Pilot; пилот, летчик
pressen; давить, прессовать
psychisch; психический, душевный
das Resultat; результат, итог
der Riese; великан, гигант
stellvertretend; заместительный, представительный
der Stock; палка, трость
die Strafe; наказание, штраф
trainieren; тренировать, упражнять
der Übersetzer; переводчик
das Ufer; берег, побережье
die Umfrage; опрос, анкетирование
unsicher; неуверенный, ненадежный
anfangs; сначала, вначале
anmelden; регистрировать, заявлять
aufzeigen; показывать, демонстрировать
aussteigen; выходить, выбывать
austauschen; обменивать, заменять
auswärtig; иностранный, зарубежный
das Baby; младенец, ребенок
beliebig; любой, произвольный
bevorstehen; предстоять, ожидаться
die City; центр города
derzeitig; текущий, нынешний
die Differenz; разница, различие
die Dunkelheit; темнота, мрак
das Dutzend; дюжина
eingreifen; вмешиваться, вторгаться
das Eis; лед, мороженое
der Empfang; прием, получение
der Empfänger; получатель, адресат
entspannen; расслаблять(ся), ослаблять
die Ernährung; питание, кормление
evangelisch; протестантский, евангелический
fliehen; бежать, спасаться
der Franzose; француз
friedlich; мирный, спокойный
furchtbar; ужасный, страшный
genetisch; генетический
der Gesichtspunkt; точка зрения, аспект
die Großmutter; бабушка
die Herkunft; происхождение, источник
die Hochzeit; свадьба, бракосочетание
der Hunger; голод
jederzeit; в любое время, всегда
die Konjunktur; экономическая конъюнктура
der Konkurrent; конкурент, соперник
die Last; груз, бремя
das Lebensjahr; год жизни
das Medium; средство, носитель информации
methodisch; методический, систематический
die Mischung; смесь, микс
das Muster; узор, образец
der Nachfolger; преемник, последователь
nachhaltig; устойчивый, долговременный
neugierig; любопытный, любознательный
die Note; оценка, отметка
null; ноль, нулевой
der Onkel; дядя
das Potenzial; потенциал, возможность
der Protest; протест, возражение
putzen; чистить, убирать
reinigen; очищать, чистить
der Reiz; стимул, раздражитель
restlich; оставшийся, остальной
resultieren; следовать, вытекать
der Rohstoff; сырье, сырьевой материал
der Sachverhalt; факт, обстоятельство дела
der Schuss; выстрел, удар
sechzehn; шестнадцать
selbe; тот же самый, идентичный
die Sicherung; предохранитель, страховка
der Sieger; победитель, чемпион
sperren; блокировать, закрывать
die Statistik; статистика
die Strahlung; излучение, радиация
das Taxi; такси
das Turnier; турнир, соревнование
die Übernahme; приобретение, поглощение
umgeben; окружать, обрамлять
umstritten; спорный, противоречивый
die Verarbeitung; обработка, переработка
verdächtig; подозрительный, сомнительный
verdeutlichen; пояснять, разъяснять
die Veröffentlichung; публикация, издание
die Verteilung; распределение, раздача
die Wiedervereinigung; воссоединение
wiegen; весить, взвешивать
der Witz; шутка, анекдот
wunderschön; чудесный, прекрасный
der Abschied; прощание, расставание
anfallen; возникать, накапливаться
anführen; возглавлять, руководить
ausbrechen; вспыхивать, разражаться
aushalten; выдерживать, терпеть
beauftragen; поручать, уполномочивать
die Benutzung; использование, применение
Berner; бернский
bestreiten; отрицать, оспаривать
die Beurteilung; оценка, суждение
der Bewerber; кандидат, соискатель
der Christ; христианин
das Defizit; дефицит, недостаток
dringen; настаивать, проникать
effektiv; эффективный, действенный
eindringen; проникать, вторгаться
einsam; одинокий, уединенный
einschließen; включать, заключать
die Einschränkung; ограничение, оговорка
entfallen; выпадать, приходиться
die Ermittlung; расследование, выяснение
der Ertrag; доход, выручка
der Flur; коридор, прихожая
das Format; формат, размер
gründlich; тщательный, основательный
der Held; герой
herein; внутрь, сюда
die Herstellung; производство, изготовление
heuer; в этом году (австр., бав.)
jahrelang; многолетний, долгий
japanisch; японский
jemals; когда-либо, когда-нибудь
der Kaiser; император, кайзер
die Kammer; комната, палата
die Kette; цепь, цепочка
kleben; приклеивать, липнуть
die Kleidung; одежда, платье
die Kneipe; паб, кабак
konstant; постоянный, неизменный
der Kritiker; критик, рецензент
die Küste; побережье, берег
langweilig; скучный, нудный
liberal; либеральный, свободный
logisch; логичный, логический
das Messer; нож
die Messung; измерение, замер
mitunter; иногда, время от времени
der Moslem; мусульманин
das Motto; девиз, лозунг
nebenbei; между делом, попутно
nervös; нервный, беспокойный
notieren; записывать, отмечать
der Nutzer; пользователь
optisch; оптический, визуальный
organisch; органический, естественный
der Passagier; пассажир
peinlich; неловкий, стыдный
die Premiere; премьера, дебют
die Probe; проба, образец
der Quadratmeter; квадратный метр
reizen; раздражать, возбуждать
der Saal; зал, салон
schief; кривой, косой
die Schwäche; слабость, недостаток
der Sektor; сектор, отрасль
spontan; спонтанный, непроизвольный
der Sprung; прыжок, скачок
das Symptom; симптом, признак
das Tennis; теннис
das Top; верх, топ
das Tuch; ткань, платок
übergeben; передавать, вручать
die Überraschung; сюрприз, неожиданность
die Übersetzung; перевод
unzählig; бесчисленный, несметный
die Verbreitung; распространение, распространенность
verlegen; смущаться, стесняться
verringern; уменьшать, сокращать
verschaffen; обеспечивать, доставать
vertreiben; продавать, изгонять
das Virus; вирус
das Vorhaben; план, намерение
die Vorlage; образец, шаблон
die Wärme; тепло, теплота
werben; рекламировать, вербовать
die Werbung; реклама, рекламирование
wertvoll; ценный, драгоценный
die Wiese; луг, лужайка
wütend; злой, разъяренный
das Zelt; палатка, шатер
zumeist; в основном, большей частью
zurücktreten; уходить в отставку, отступать
abhalten; удерживать, проводить
abstellen; парковать, выключать
der Anhänger; прицеп, сторонник
die Anzeige; объявление, заявление
die Aufklärung; разъяснение, просвещение
die Auflösung; разрешение, роспуск
ausfüllen; заполнять, занимать
bedanken; благодарить
befestigen; закреплять, укреплять
beibringen; обучать, преподавать
bescheiden; скромный, умеренный
beschleunigen; ускорять, убыстрять
besorgen; заботиться, доставать
die Bestellung; заказ, заявка
biegen; поворачивать, гнуть
der Bube; мальчик, валет (карт.)
das Bündnis; союз, альянс
die Burg; замок, крепость
dastehen; выглядеть, стоять
dauerhaft; долговременный, прочный
deutschsprachig; немецкоязычный
Dialekt; диалект
Durchführung; выполнение
Einigung; соглашение
Einsicht; понимание
erregen; возбуждать
erwischen; поймать
extra; дополнительно
flexibel; гибкий
fort; далеко
Gedächtnis; память
Gefängnis; тюрьма
Geste; жест
Gleichung; уравнение
haften; нести ответственность
herrlich; великолепный
Herrschaft; власть
hocken; приседать
Infrastruktur; инфраструктура
Katalog; каталог
kirchlich; церковный
klug; умный
Meldung; сообщение
Mission; миссия
Mitteilung; сообщение
nachfolgen; следовать
nachgehen; опаздывать
Nahrung; питание
Nebel; туман
Offizier; офицер
Oma; бабушка
Philosophie; философия
Realisierung; реализация
Schein; свидетельство
schleppen; тащить
Schnitt; срез
Schnittstelle; интерфейс
Schulden; долги
Sehnsucht; тоска
Skandal; скандал
Stadion; стадион
stoppen; останавливать
süß; сладкий
Tipp; совет
übereinstimmen; согласовывать
unangenehm; неприятный
unterbringen; разместить
verfügbar; доступный
vergrößern; увеличивать
verkünden; объявлять
vernichten; уничтожать
verwirren; смущать
vorläufig; временный
wiedersehen; увидеться
Wunde; рана
Wurzel; корень
Zeuge; свидетель
Zeugnis; свидетельство
zugunsten; в пользу
abbilden; изображать
abdecken; покрывать
ablösen; отслаиваться
abspielen; воспроизводить
abweichen; отклоняться
abzeichnen; обозначаться
achtzehn; восемнадцать
Anblick; вид
angewiesen; зависимый
Anliegen; просьба
optisch; оптический
Optisch; оптический
Organisch; органический
Passagier; пассажир
Peinlich; неловко
Premiere; премьера
Probe; проба
Quadratmeter; квадратный метр
Reizen; раздражать
Saal; зал
Schief; кривой
Schwäche; слабость
Sektor; сектор
Spontan; спонтанный
Sprung; прыжок
Symptom; симптом
Tennis; теннис
Top; топ
Tuch; ткань
Übergeben; передавать
Überraschung; сюрприз
Übersetzung; перевод
Unzählig; бесчисленный
Verbreitung; распространение
Verlegen; смущаться
Verringern; уменьшать
Verschaffen; обеспечивать
Vertreiben; продавать
Virus; вирус
Vorhaben; план
Vorlage; образец
Wärme; тепло
Werben; рекламировать
Werbung; реклама
Wertvoll; ценный
Wiese; луг
Wütend; злой
Zelt; палатка
Zumeist; в основном
Zurücktreten; уходить в отставку
Abhalten; удерживать
Abstellen; парковать
Anhänger; прицеп
Anzeige; объявление
Aufklärung; разъяснение
Auflösung; разрешение
Ausfüllen; заполнять
Bedanken; благодарить
Befestigen; закреплять
Beibringen; обучать
Bescheiden; скромный
Beschleunigen; ускорять
Besorgen; заботиться
Bestellung; заказ
Biegen; поворачивать
Bube; мальчик
Bündnis; союз
Burg; замок
Dastehen; выглядеть
Dauerhaft; долговременный
Deutschsprachig; немецкоязычный
Dialekt; диалект
Durchführung; выполнение
Einigung; согласие
Einsicht; понимание
Erregen; возбуждать
Erwischen; поймать
Extra; дополнительно
Flexibel; гибкий
Fort; далеко
Gedächtnis; память
Gefängnis; тюрьма
Geste; жест
Gleichung; уравнение
Haften; нести ответственность
Herrlich; великолепный
Herrschaft; власть
Hocken; приседать
Infrastruktur; инфраструктура
Katalog; каталог
Kirchlich; церковный
Klug; умный
Meldung; сообщение
Mission; миссия
Mitteilung; сообщение
Nachfolgen; следовать
Nachgehen; опаздывать
Nahrung; питание
Nebel; туман
Offizier; офицер
Oma; бабушка
Philosophie; философия
Realisierung; реализация
Schein; свидетельство
Schleppen; тащить
Schnitt; срез
Schnittstelle; интерфейс
Schulden; долги
Sehnsucht; тоска
Skandal; скандал
Stadion; стадион
Stoppen; останавливать
Süß; сладкий
Tipp; совет
Übereinstimmen; согласовывать
Unangenehm; неприятный
Unterbringen; разместить
Verfügbar; доступный
Vergrößern; увеличивать
Verkünden; объявлять
Vernichten; уничтожать
Verwirren; смущать
Vorläufig; временный
Wiedersehen; увидеться
Wunde; рана
Wurzel; корень
Zeuge; свидетель
Zeugnis; свидетельство
Zugunsten; в пользу
Abbilden; изображать
Abdecken; покрывать
Ablösen; отслаиваться
Abspielen; воспроизводить
Abweichen; отклоняться
Abzeichnen; обозначаться
Achtzehn; восемнадцать
Anblick; вид
Angewiesen; зависимый
Anliegen; просьба
Anpassung;адаптация
Anstieg;рост, увеличение
anstrengend;утомительный
Arbeitsamt;бюро занятости
basieren;базироваться на
Befehl;приказ
behindert;инвалид
Bereitschaft;готовность
Beschwerde;жалоба
Bogen;лук, дуга, лист
Bundesliga;национальный дивизион
Celsius;градус Цельсия
demnächst;скоро
divers;разнообразный, различный
Droge;наркотик
Ehre;честь
Eigentum;собственность
einmalig;уникальный, фантастический
Einzelfall;отдельный случай
elegant;элегантный
entgegenkommen;встречать, угождать
entwerfen;проектировать
Epoche;эпоха
Erreger;возбудитель, вирус, микроб
Feststellung;наблюдение, замечание
formal;формальный
Formulierung;формулировка
Gelände;территория, участок
Geliebte;любовник, любовница
Geschwister;братья и сестры
Gramm;грамм
gültig;действительный
heutzutage;в наши дни
hinfahren;ехать туда, поехать туда
infolge;вследствие
Inszenierung;постановка, инсценировка
isolieren;изолировать, утеплять
Kapitän;капитан
Kiste;ящик, контейнер
klinisch;клинический
Knochen;кость
Kontext;контекст
kreativ;творческий
Kunstwerk;произведение искусства
Lebewesen;живое существо
LKW, Lastkraftwagen;грузовик
Lohn;заработная плата, вознаграждение
Magen;желудок
meinetwegen;из-за меня, по мне
Mode;мода
Mörder;убийца
nunmehr;теперь
nützlich;полезный
Öffnung;отверстие, дыра
organisatorisch;организационный
palästinensisch;палестинский
Partie;партия (игра)
Rathaus;ратуша
Reflexion;размышление
Rente;пенсия
ruhen;отдыхать
schuldig;виновный
schwingen;качаться, махать
sexuell;сексуальный
Show;шоу
stetig;постоянный
Stiftung;фонд, учреждение, пожертвование
super;супер
tauchen;нырять, погружаться
Teller;тарелка
übersehen;не замечать
unklar;неясный
untereinander;между собой
Unterscheidung;различие, дифференциация
veranstalten;организовывать
verbrennen;сжигать
vergeblich;напрасный
verhandeln;торговаться, вести переговоры
verknüpfen;связывать
versagen;потерпеть неудачу
Version;версия
verwirklichen;воплотить в жизнь
verzeichnen;записывать, регистрировать
Wähler;избиратель
